rank,word,frequency
1,time,39004
2,eyes,28284
3,day,28051
4,life,22931
5,hand,22734
6,looked,21789
7,house,20373
8,miss,19837
9,night,18379
10,head,17757
11,love,16742
12,people,16709
13,moment,16504
14,woman,16088
15,left,15660
16,father,15594
17,found,15432
18,home,15010
19,heart,14994
20,door,14977
21,girl,14269
22,half,14100
23,mind,14005
24,mother,13717
25,told,13530
26,stood,13210
27,hands,13096
28,world,12948
29,heard,12868
30,de,12488
31,voice,12168
32,light,11523
33,poor,11073
34,words,10850
35,morning,10775
36,white,10687
37,answered,10401
38,sat,10225
39,days,9891
40,â,9653
41,sir,9529
42,dear,9432
43,cried,9382
44,child,9188
45,wife,9106
46,matter,9051
47,air,8969
48,called,8903
49,friend,8840
50,set,8798
51,boy,8770
52,brought,8704
53,replied,8688
54,passed,8675
55,talk,8529
56,word,8521
57,money,8407
58,feel,8345
59,rose,8326
60,hope,8320
61,speak,8012
62,hear,7939
63,lady,7849
64,god,7700
65,feet,7658
66,coming,7656
67,hour,7606
68,suddenly,7604
69,leave,7585
70,held,7335
71,water,7293
72,women,7291
73,lay,7233
74,dead,7229
75,care,7228
76,death,7212
77,business,7154
78,dark,7045
79,call,6990
80,till,6990
81,hard,6968
82,suppose,6945
83,TRUE,6930
84,fire,6917
85,spoke,6899
86,read,6879
87,returned,6868
88,table,6789
89,low,6742
90,evening,6728
91,rest,6659
92,round,6601
93,black,6564
94,ye,6519
95,friends,6468
96,doctor,6458
97,fell,6457
98,nature,6452
99,question,6399
100,added,6375
101,understand,6357
102,country,6329
103,beautiful,6315
104,strange,6264
105,sort,6222
106,strong,6167
107,times,6151
108,window,6108
109,arms,6106
110,pretty,6105
111,chapter,6079
112,glad,6029
113,street,5998
114,lost,5930
115,captain,5870
116,sight,5870
117,arm,5829
118,town,5807
119,children,5806
120,met,5792
121,story,5771
122,red,5749
123,smile,5728
124,lips,5697
125,em,5689
126,answer,5679
127,family,5621
128,feeling,5602
129,live,5599
130,fellow,5598
131,exclaimed,5586
132,road,5582
133,forward,5560
134,soul,5534
135,ready,5527
136,hair,5496
137,en,5487
138,manner,5485
139,uncle,5421
140,remember,5400
141,john,5398
142,truth,5397
143,cold,5394
144,fear,5393
145,wuz,5393
146,slowly,5363
147,silence,5354
148,city,5350
149,short,5336
150,chair,5332
151,past,5328
152,sense,5313
153,deep,5303
154,continued,5298
155,letter,5291
156,horse,5288
157,aunt,5215
158,close,5208
159,eye,5198
160,idea,5176
161,reason,5175
162,ah,5155
163,happy,5116
164,laughed,5079
165,husband,5045
166,taking,5040
167,bring,4996
168,hold,4961
169,tone,4921
170,sound,4911
171,entered,4903
172,ground,4900
173,brother,4890
174,reached,4870
175,walked,4855
176,power,4849
177,return,4847
178,daughter,4827
179,son,4823
180,bed,4808
181,doubt,4756
182,blue,4734
183,drew,4709
184,trouble,4652
185,stay,4640
186,late,4622
187,lord,4608
188,afraid,4595
189,war,4592
190,loved,4578
191,ago,4538
192,fine,4537
193,hours,4530
194,stand,4519
195,run,4509
196,front,4507
197,bad,4496
198,person,4491
199,mine,4485
200,church,4474
201,blood,4470
202,stopped,4466
203,hundred,4441
204,meet,4438
205,appeared,4437
206,deal,4435
207,quiet,4417
208,body,4411
209,change,4408
210,sun,4405
211,company,4403
212,standing,4391
213,save,4336
214,chance,4330
215,ten,4324
216,land,4311
217,sweet,4302
218,laid,4287
219,wait,4267
220,thinking,4259
221,colonel,4256
222,human,4245
223,means,4243
224,gentleman,4222
225,book,4219
226,sister,4215
227,jack,4211
228,laugh,4179
229,moved,4175
230,sudden,4170
231,caught,4166
232,tears,4147
233,sea,4083
234,started,4065
235,sitting,4059
236,line,4034
237,spirit,4031
238,twenty,4020
239,grew,4018
240,figure,3998
241,river,3994
242,afternoon,3993
243,fair,3984
244,quickly,3967
245,floor,3966
246,silent,3961
247,dr,3952
248,walk,3951
249,party,3938
250,week,3935
251,hat,3908
252,pleasure,3908
253,master,3905
254,beauty,3903
255,free,3900
256,girls,3900
257,real,3896
258,expression,3894
259,struck,3881
260,led,3847
261,wild,3847
262,earth,3835
263,heavy,3811
264,glance,3810
265,king,3804
266,ran,3792
267,presently,3783
268,law,3775
269,position,3759
270,wall,3753
271,presence,3752
272,hall,3742
273,ter,3718
274,waiting,3704
275,minutes,3702
276,quick,3685
277,dinner,3663
278,york,3657
279,attention,3650
280,cut,3649
281,married,3648
282,broke,3625
283,paper,3622
284,smiled,3602
285,tom,3576
286,die,3569
287,meant,3569
288,carried,3562
289,sleep,3561
290,foot,3559
291,pale,3548
292,wrong,3543
293,filled,3535
294,send,3535
295,talking,3510
296,bright,3494
297,wind,3487
298,marry,3469
299,easy,3468
300,man's,3468
301,lived,3467
302,pay,3461
303,office,3454
304,step,3454
305,thousand,3454
306,school,3426
307,duty,3425
308,green,3425
309,instant,3425
310,horses,3415
311,form,3410
312,subject,3403
313,broken,3402
314,boat,3363
315,judge,3357
316,breath,3348
317,living,3333
318,corner,3332
319,fall,3325
320,closed,3324
321,happened,3321
322,trees,3316
323,makes,3312
324,soft,3306
325,died,3293
326,dat,3292
327,bear,3291
328,rich,3288
329,boys,3280
330,received,3274
331,sit,3269
332,gold,3249
333,view,3243
334,pass,3233
335,dress,3211
336,shook,3204
337,morrow,3203
338,thou,3182
339,natural,3176
340,summer,3172
341,remained,3161
342,gray,3158
343,expected,3155
344,ill,3155
345,surprise,3153
346,society,3145
347,strength,3144
348,effect,3142
349,march,3132
350,secret,3118
351,account,3100
352,ladies,3089
353,months,3085
354,future,3075
355,age,3072
356,cry,3064
357,father's,3060
358,play,3059
359,scarcely,3044
360,stop,3037
361,english,3026
362,dolly,3021
363,steps,3017
364,desire,3016
365,wished,3011
366,common,3006
367,usual,3001
368,guess,3000
369,watch,2999
370,dropped,2998
371,conversation,2977
372,thee,2955
373,straight,2926
374,simply,2925
375,quietly,2917
376,speaking,2917
377,watched,2916
378,character,2914
379,raised,2913
380,forget,2903
381,youth,2898
382,heaven,2897
383,distance,2893
384,leaving,2889
385,visit,2887
386,george,2883
387,learned,2878
388,american,2874
389,shoulder,2873
390,reply,2868
391,brown,2865
392,force,2860
393,changed,2857
394,train,2852
395,talked,2849
396,court,2848
397,repeated,2838
398,grace,2834
399,seat,2834
400,picture,2825
401,lifted,2820
402,mouth,2820
403,note,2817
404,wide,2802
405,iv,2790
406,knowledge,2787
407,simple,2785
408,fight,2784
409,public,2784
410,act,2777
411,glass,2770
412,hot,2769
413,tree,2769
414,cousin,2760
415,peace,2760
416,carriage,2750
417,bit,2748
418,pleasant,2744
419,stone,2744
420,threw,2730
421,giving,2729
422,spring,2718
423,beginning,2714
424,finally,2711
425,believed,2708
426,plain,2699
427,warm,2697
428,effort,2695
429,miles,2695
430,weeks,2693
431,scene,2689
432,brer,2681
433,trust,2673
434,mary,2671
435,worse,2666
436,broad,2662
437,perfectly,2659
438,meeting,2657
439,touch,2657
440,ship,2653
441,purpose,2648
442,safe,2644
443,garden,2643
444,companion,2638
445,music,2638
446,tall,2634
447,village,2634
448,follow,2629
449,south,2626
450,covered,2623
451,news,2622
452,grave,2620
453,danger,2619
454,sky,2614
455,st,2613
456,moments,2612
457,west,2609
458,promise,2606
459,spoken,2605
460,worth,2600
461,minute,2594
462,dollars,2583
463,books,2580
464,england,2580
465,joy,2578
466,crowd,2577
467,madame,2575
468,hill,2574
469,pain,2572
470,evidently,2569
471,beneath,2568
472,remarked,2560
473,sick,2558
474,north,2557
475,perfect,2556
476,fresh,2555
477,art,2538
478,indian,2534
479,tired,2531
480,pleased,2529
481,impossible,2523
482,marriage,2523
483,woods,2521
484,faith,2520
485,write,2517
486,camp,2511
487,neck,2511
488,remembered,2501
489,fancy,2489
490,winter,2489
491,folks,2483
492,break,2482
493,letters,2479
494,smiling,2470
495,bent,2466
496,expect,2461
497,whispered,2459
498,carry,2453
499,sake,2450
500,don,2448
501,stairs,2448
502,touched,2446
503,supper,2442
504,appearance,2440
505,fingers,2440
506,happiness,2438
507,dog,2428
508,easily,2426
509,thy,2426
510,flowers,2423
511,listened,2414
512,mere,2411
513,comfort,2409
514,sympathy,2408
515,darkness,2406
516,french,2404
517,gentlemen,2402
518,top,2398
519,rising,2395
520,breakfast,2394
521,forgotten,2394
522,papa,2393
523,honor,2392
524,pride,2389
525,fast,2384
526,speech,2384
527,passing,2381
528,waited,2375
529,proud,2374
530,shadow,2371
531,drawing,2370
532,holding,2369
533,lot,2369
534,sharp,2367
535,born,2364
536,piece,2360
537,reach,2358
538,experience,2351
539,hung,2348
540,goin,2345
541,lives,2342
542,immediately,2333
543,ears,2331
544,fixed,2329
545,shot,2329
546,lying,2327
547,terrible,2325
548,mighty,2319
549,dare,2318
550,excitement,2313
551,wore,2313
552,sez,2311
553,watching,2310
554,written,2310
555,escape,2307
556,service,2307
557,laughing,2306
558,sad,2306
559,surely,2304
560,fallen,2303
561,object,2303
562,begin,2287
563,start,2286
564,slight,2274
565,chief,2271
566,understood,2271
567,handsome,2268
568,path,2265
569,growing,2263
570,noticed,2263
571,box,2261
572,knowing,2258
573,listen,2253
574,shut,2252
575,paused,2241
576,bound,2238
577,length,2238
578,anxious,2234
579,memory,2226
580,gate,2222
581,direction,2213
582,fool,2207
583,regard,2204
584,suggested,2202
585,cross,2201
586,thin,2198
587,faint,2196
588,drawn,2195
589,matters,2189
590,questions,2187
591,gentle,2182
592,passion,2180
593,fortune,2179
594,houses,2178
595,dream,2175
596,move,2172
597,yer,2172
598,study,2170
599,dey,2169
600,yellow,2164
601,decided,2162
602,cast,2158
603,shoulders,2158
604,pocket,2157
605,charge,2156
606,mother's,2149
607,grown,2143
608,git,2141
609,windows,2138
610,lines,2137
611,surprised,2136
612,paul,2135
613,spite,2134
614,bank,2131
615,spent,2131
616,condition,2115
617,settled,2113
618,dozen,2112
619,color,2108
620,leaves,2107
621,coat,2105
622,eat,2104
623,single,2093
624,respect,2088
625,learn,2087
626,wood,2084
627,o'clock,2083
628,lie,2081
629,field,2078
630,paid,2078
631,softly,2078
632,stranger,2077
633,sign,2076
634,silver,2066
635,snow,2063
636,offered,2057
637,tea,2057
638,personal,2051
639,notice,2050
640,wrote,2047
641,hurt,2042
642,occasion,2040
643,clothes,2039
644,determined,2035
645,success,2035
646,spot,2034
647,glanced,2031
648,reading,2029
649,opinion,2027
650,observed,2024
651,influence,2023
652,hotel,2021
653,ride,2018
654,wonderful,2018
655,curious,2013
656,result,2013
657,stepped,2013
658,narrow,2012
659,jim,2008
660,finished,2007
661,honest,2007
662,governor,2006
663,gently,1999
664,smoke,1998
665,wondered,1998
666,telling,1997
667,noble,1996
668,calm,1995
669,officer,1995
670,declared,1994
671,circumstances,1987
672,walls,1987
673,conscious,1982
674,leaned,1978
675,army,1969
676,mountain,1967
677,fate,1966
678,running,1965
679,mistress,1964
680,killed,1963
681,remain,1958
682,supposed,1957
683,opportunity,1956
684,social,1955
685,action,1952
686,angry,1951
687,explained,1949
688,cheeks,1947
689,breast,1945
690,pity,1942
691,van,1940
692,promised,1937
693,squire,1936
694,apparently,1934
695,evil,1931
696,weak,1927
697,gathered,1924
698,east,1921
699,crossed,1919
700,history,1917
701,store,1914
702,tender,1913
703,confidence,1912
704,indians,1912
705,woman's,1911
706,rapidly,1907
707,dressed,1906
708,lose,1904
709,opposite,1904
